title	author	rating	num_ratings	description	url
Spare	Harry, Prince, Duke of Sussex, 1984-	3.7	299	"It was one of the most searing images of the twentieth century: two young boys, two princes, walking behind their mother's coffin as the world watched in sorrow--and horror. As Diana, Princess of Wales, was laid to rest, billions wondered what the princes must be thinking and feeling--and how their lives would play out from that point on. For Harry, this is that story at last. With its raw, unflinching honesty, Spare is a landmark publication full of insight, revelation, self-examination, and hard-won wisdom about the eternal power of love over grief"--	https://durhamcounty.bibliocommons.com/item/show/921837169
Tomorrow, and Tomorrow, and Tomorrow	Zevin, Gabrielle	4.3	478	On a bitter-cold day, in the December of his junior year at Harvard, Sam Masur exits a subway car and sees, amid the hordes of people waiting on the platform, Sadie Green. He calls her name. For a moment, she pretends she hasn't heard him, but then, she turns, and a game begins: a legendary collaboration that will launch them to stardom. These friends, intimates since childhood, borrow money, beg favors, and, before even graduating college, they have created their first blockbuster, Ichigo. Overnight, the world is theirs. Not even twenty-five years old, Sam and Sadie are brilliant, successful, and rich, but these qualities won't protect them from their own creative ambitions or the betrayals of their hearts. Spanning thirty years, from Cambridge, Massachusetts, to Venice Beach, California, and lands in between and far beyond, Gabrielle Zevin's Tomorrow, and Tomorrow, and Tomorrow is a dazzling and intricately imagined novel that examines the multifarious nature of identity, disability, failure, the redemptive possibilities in play, and above all, our need to connect: to be loved and to love. Yes, it is a love story, but it is not one you have read before.	https://durhamcounty.bibliocommons.com/item/show/907625169
Lessons in Chemistry	Garmus, Bonnie	4.35	1234	Set in 1960s California, this blockbuster debut is the hilarious, idiosyncratic and uplifting story of a female scientist whose career is constantly derailed by the idea that a woman's place is in the home, only to find herself starring as the host of America's most beloved TV cooking show. Elizabeth Zott is not your average woman. In fact Elizabeth Zott would be the first to point out that there is no such thing as an average woman. But it's the 1960s and despite the fact that she is a scientist, her peers are very unscientific when it comes to equality. The only good thing to happen to her on the road to professional fulfillment is a run-in with her super-star colleague Calvin Evans (well, she stole his beakers.) The only man who ever treated her-and her ideas-as equal, Calvin is already a legend and Nobel nominee. He's also awkward, kind and tenacious. Theirs is true chemistry. But as events are never as predictable as chemical reactions, three years later Elizabeth Zott is an unwed, single mother (did we mention it's the early 60s??) and the star of America's most beloved cooking show Supper at Six. Elizabeth's singular approach to cooking ('take one pint of H2O and add a pinch of sodium chloride') and independent example are proving revolutionary. Because Elizabeth isn't just teaching women how to cook, she's teaching them how to change the status quo. Laugh-out-loud funny, shrewdly observant, and studded with a dazzling cast of supporting characters, Lessons in Chemistry is as original and vibrant as its protagonist.	https://durhamcounty.bibliocommons.com/item/show/902100169
Demon Copperhead	Kingsolver, Barbara	4.25	293	The teenage son of an Appalachian single mother who dies when he is eleven uses his good looks, wit, and instincts to survive foster care, child labor, addiction, disastrous loves, and crushing losses.	https://durhamcounty.bibliocommons.com/item/show/909898169
I'm Glad My Mom Died	McCurdy, Jennette, 1992-	4.5	745	Jennette McCurdy was six years old when she had her first acting audition. Her mother's dream was for her only daughter to become a star, and Jennette would do anything to make her mother happy. So she went along with what Mom called "calorie restriction," eating little and weighing herself five times a day. She endured extensive at-home makeovers while Mom chided, "Your eyelashes are invisible, okay? You think Dakota Fanning doesn't tint hers?" She was even showered by Mom until age sixteen while sharing her diaries, email, and all her income. In I'm Glad My Mom Died, Jennette recounts all this in unflinching detail--just as she chronicles what happens when the dream finally comes true. Cast in a new Nickelodeon series called iCarly, she is thrust into fame. Though Mom is ecstatic, emailing fan club moderators and getting on a first-name basis with the paparazzi ("Hi Gale!"), Jennette is riddled with anxiety, shame, and self-loathing, which manifest into eating disorders, addiction, and a series of unhealthy relationships. These issues only get worse when, soon after taking the lead in the iCarly spinoff Sam & Cat alongside Ariana Grande, her mother dies of cancer. Finally, after discovering therapy and quitting acting, Jennette embarks on recovery and decides for the first time in her life what she really wants.	https://durhamcounty.bibliocommons.com/item/show/912351169
Our Missing Hearts	Ng, Celeste	3.9	410	"From the number one bestselling author of Little Fires Everywhere, a deeply suspenseful and heartrending novel about the unbreakable love between a mother and child in a society consumed by fear Twelve-year-old Bird Gardner lives a quiet existence with his loving but broken father, a former linguist who now shelves books in Harvard University's library. Bird knows to not ask too many questions, stand out too much, or stray too far. For a decade, their lives have been governed by laws written to preserve "American culture" in the wake of years of economic instability and violence. To keep the peace and restore prosperity, the authorities are now allowed to relocate children of dissidents, especially those of Asian origin, and libraries have been forced to remove books seen as unpatriotic-including the work of Bird's mother, Margaret, a Chinese American poet who left the family when he was nine years old. Bird has grown up disavowing his mother and her poems; he doesn't know her work or what happened to her, and he knows he shouldn't wonder. But when he receives a mysterious letter containing only a cryptic drawing, he is drawn into a quest to find her. His journey will take him back to the many folktales she poured into his head as a child, through the ranks of an underground network of librarians, into the lives of the children who have been taken, and finally to New York City, where a new act of defiance may be the beginning of much-needed change. Our Missing Hearts is an old story made new, of the ways supposedly civilized communities can ignore the most searing injustice. It's a story about the power-and limitations-of art to create change, the lessons and legacies we pass on to our children, and how any of us can survive a broken world with our hearts intact"--	https://durhamcounty.bibliocommons.com/item/show/909916169
It Ends With Us	Hoover, Colleen	4.35	2605	The newest, highly anticipated novel from beloved #1 New York Times bestselling author, Colleen Hoover. Sometimes it is the one who loves you who hurts you the most. Lily hasn't always had it easy, but that's never stopped her from working hard for the life she wants. She's come a long way from the small town in Maine where she grew up--she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily's life suddenly seems almost too good to be true. Ryle is assertive, stubborn, maybe even a little arrogant. He's also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn't hurt. Lily can't get him out of her head. But Ryle's complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his "no dating" rule, she can't help but wonder what made him that way in the first place. As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan--her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. With this bold and deeply personal novel, Colleen Hoover delivers a heart-wrenching story that breaks exciting new ground for her as a writer. Combining a captivating romance with a cast of all-too-human characters, It Ends With Us is an unforgettable tale of love that comes at the ultimate price.	https://durhamcounty.bibliocommons.com/item/show/717510169
A World of Curiosities	Penny, Louise	4.3	325	Chief Inspector Armand Gamache returns in the eighteenth book in #1 New York Times bestseller Louise Penny's beloved series. It's spring and Three Pines is reemerging after the harsh winter. But not everything buried should come alive again. Not everything lying dormant should reemerge. But something has. As the villagers prepare for a special celebration, Armand Gamache and Jean-Guy Beauvoir find themselves increasingly worried. A young man and woman have reappeared in the Sûreté du Québec investigators' lives after many years. The two were young children when their troubled mother was murdered, leaving them damaged, shattered. Now they've arrived in the village of Three Pines. But to what end? Gamache and Beauvoir's memories of that tragic case, the one that first brought them together, come rushing back. Did their mother's murder hurt them beyond repair? Have those terrible wounds, buried for decades, festered and are now about to erupt? As Chief Inspector Gamache works to uncover answers, his alarm grows when a letter written by a long dead stone mason is discovered. In it the man describes his terror when bricking up an attic room somewhere in the village. Every word of the 150-year-old letter is filled with dread. When the room is found, the villagers decide to open it up. As the bricks are removed, Gamache, Beauvoir and the villagers discover a world of curiosities. But the head of homicide soon realizes there's more in that room than meets the eye. There are puzzles within puzzles, and hidden messages warning of mayhem and revenge. In unsealing that room, an old enemy is released into their world. Into their lives. And into the very heart of Armand Gamache's home.	https://durhamcounty.bibliocommons.com/item/show/922827169
Remarkably Bright Creatures	Van Pelt, Shelby,	4.45	571	For fans of A Man Called Ove, a luminous debut novel about a widow's unlikely friendship with a giant Pacific octopus reluctantly residing at the local aquarium-and the truths she finally uncovers about her son's disappearance 30 years ago.	https://durhamcounty.bibliocommons.com/item/show/904267169
I Have Some Questions for You	Makkai, Rebecca	3.5	7	"In the riveting new novel from the author of the Pulitzer Prize and National Book Award finalist The Great Believers, a woman must reckon with her past when new details surface about a tragedy at her elite New England boarding school"--	https://durhamcounty.bibliocommons.com/item/show/922850169
