Title,Location,Authors,Summary,Published,Language,System Details,Notes,Description,Description Details,Genre,OCLC,Other Identifiers,System ID,abbreviated_summary,extractive_summary
"African American newspapers, 1827-1998. - Duke University Libraries Catalog",,"NewsBank, inc.","Provides access to U.S. newspapers chronicling a century and a half of the African American experience. Includes historically significant papers from more than 35 states and features many rare 19th-century titles. Titles in Series 1 come from the Wisconsin Historical Society, Kansas State Historical Society and the Library of Congress, while titles in Series 2 come from the American Antiquarian Society, Center for Research Libraries, the Library of Congress, and New York Public Library. Covers life in the Antebellum South, growth of the Black church, the Jim Crow Era, the Great Migration, Harlem Renaissance, Civil Rights movement, and political and economic empowerment.","[Naples, Fla.] : Readex, a division of NewsBank.",English,,,1 online resource,Color characteristics: polychromeFile type: text file,DatabasesSourcesElectronic reference sourcesHistoryNewspapersOnline databases,425966273.0,LCCN: 2016254037,005747347,"U.S. newspapers chronicled a century and a half of the African American experience. Includes historically significant papers from more than 35 states. Covers life in the Antebellum South, growth of the Black church, the Jim Crow Era, the Great Migration, Harlem Renaissance, Civil Rights movement, and political and economic empowerment. Titles in Series 1 come from the Wisconsin Historical Society, Kansas State Historical Society and Library of Congress, while titles in Series 2 come from American Antiquarian Society, Center for Research Libraries.","- Duke University Libraries Catalog Provides access to U.S. newspapers chronicling a century and a half of the African American experience. Includes historically significant papers from more than 35 states and features many rare 19th-century titles. Covers life in the Antebellum South, growth of the Black church, the Jim Crow Era, the Great Migration, Harlem Renaissance, Civil Rights movement, and political and economic empowerment. Titles in Series 1 come from the Wisconsin Historical Society, Kansas State Historical Society and the Library of Congress, while titles in Series 2 come from the American Antiquarian Society, Center for Research Libraries, the Library of Congress, and New York Public Library. African American newspapers, 1827-1998."
All the world's primates. - Duke University Libraries Catalog,,"Rowe, Noel","All the World's Primates is the comprehensive and authoritative resource for information about all the species and subspecies of living lorises, galagos, lemurs, tarsiers, monkeys, and apes. The relational database has contributions from more than 300 scientists, most of whom have done research on primates in their natural habitats. Containing all of the 612 species and subspecies recognized by the International Union for Conservation of Nature (IUCN), as well as exciting current discoveries, the database details habitat, social behavior, diet, physical measurements, risks of extinction, and other facts critical to understanding primate lives. Users can organize primates by multiple methods that best suit their needs. Fully referenced with over 10,000 citations, the data accompany more than 3,000 photographs, as well as interactive maps for each species and subspecies, video, audio, links, search tools, multilingual glossaries, review articles, and other resources.","Charlestown, Rhode Island : Primate Conservation.",English,,"Edited: Noel Rowe and Marc Myers, <Apr. 2012-> .",1 online resource,File type: text file,DatabasesPictorial worksOnline databasesElectronic reference sources,785746247.0,,006052030,"All the World's Primates is the comprehensive and authoritative resource for information about all the species and subspecies of living lorises, galagos, lemurs, tarsiers, monkeys, and apes. The relational database has contributions from more than 300 scientists, most of whom have done research on primates in their natural habitats. The database details habitat, social behavior, diet, physical measurements, risks of extinction, and other facts critical to understanding primate lives. Users can organize primates by multiple methods that best suit their needs.","- Duke University Libraries Catalog All the World's Primates is the comprehensive and authoritative resource for information about all the species and subspecies of living lorises, galagos, lemurs, tarsiers, monkeys, and apes. Containing all of the 612 species and subspecies recognized by the International Union for Conservation of Nature (IUCN), as well as exciting current discoveries, the database details habitat, social behavior, diet, physical measurements, risks of extinction, and other facts critical to understanding primate lives. Fully referenced with over 10,000 citations, the data accompany more than 3,000 photographs, as well as interactive maps for each species and subspecies, video, audio, links, search tools, multilingual glossaries, review articles, and other resources. Users can organize primates by multiple methods that best suit their needs. The relational database has contributions from more than 300 scientists, most of whom have done research on primates in their natural habitats."
The American bench. - Duke University Libraries Catalog,,Forster-Long (Firm),"Court profiles on both federal and state courts: Formal names of the courts, Judge titles, Method of selection and term information, Retirement requirements, Type of jurisdiction,Types of writs the court may issue, Where appeals are sent (if available), How the court sits and its location, Court Administrator and court clerk information, All judges serving each court; Counties and county seats: Information on over 19,000 judges: Name, title, court, address, phone & email,Term information, Personal background and education, Bar Admissions and legal positions, Private legal practice, Previous judgeships in other courts, Authorships and teaching positions, Important decisions, Memberships in legal/judicial/bar associations, Legal and judicial conferences & seminars, Honors and awards, Military information, Employment other than legal, Political affiliations and activities, Social and civic activities, Hobbies, interests and personal statements; Distribution of male and female judges throughout federal and state judiciaries; Judge photos; Contains 112 judicial boundary map.","[Dallas, Tex.] : Forster-Long.",English,,"Title from search page (viewed on Oct. 19, 2010).",,Color characteristics: polychromeFile type: text file,DirectoriesOnline databases,677987855.0,,004957649,"Court profiles on both federal and state courts: Formal names of the courts, Judge titles, Retirement requirements, Type of jurisdiction, Types of writs the court may issue, How the court sits and its location. Counties and county seats: Information on over 19,000 judges: Name, title, court, address, phone & email,Term information, Personal background and education, Bar Admissions and legal positions, Authorships and teaching positions, Memberships in legal/judicial/bar associations, Honors and awards.","- Duke University Libraries Catalog Court profiles on both federal and state courts: Formal names of the courts, Judge titles, Method of selection and term information, Retirement requirements, Type of jurisdiction,Types of writs the court may issue, Where appeals are sent (if available), How the court sits and its location, Court Administrator and court clerk information, All judges serving each court; Counties and county seats: Information on over 19,000 judges: Name, title, court, address, phone & email,Term information, Personal background and education, Bar Admissions and legal positions, Private legal practice, Previous judgeships in other courts, Authorships and teaching positions, Important decisions, Memberships in legal/judicial/bar associations, Legal and judicial conferences & seminars, Honors and awards, Military information, Employment other than legal, Political affiliations and activities, Social and civic activities, Hobbies, interests and personal statements; Distribution of male and female judges throughout federal and state judiciaries; Judge photos; Contains 112 judicial boundary map. The American bench."
American Law Institute library. - Duke University Libraries Catalog,,William S. Hein & Company,"The American Law Institute library on HeinOnline consists of full runs of the Institute's Annual Reports, Proceedings, Annual Meeting Speeches, and the Institute's newsletter, The ALI Reporter. These series can help greatly in conducting research into Institute projects and publications going back to the organization's founding. The ALI Collection also includes archival material from the Second Restatement of Torts (perhaps the most influential treatise on common law liability), the Model Penal Code (adopted as the criminal code in most states), and the Statement of Essential Human Rights (a pioneering ALI project of the mid 1940s). Additional documents from the Institute Archives at Penn will be added to the ALI library on HeinOnline in the future","Buffalo, N.Y. : William S. Hein & Co.",English,Mode of access: World Wide Web.,,,File type: text file,DatabasesOnline databasesRestatements of the law,163811643.0,,003901956,"The American Law Institute library on HeinOnline consists of full runs of the Institute's Annual Reports, Proceedings, Annual Meeting Speeches, and The ALI Reporter. Additional documents from the Institute Archives at Penn will be added to the ALI library in the future. The library also includes material from the Second Restatement of Torts, Model Penal Code and Statement of Essential Human Rights (a pioneering ALI project of the mid 1940s) Additional documents will be addition to the library at Penn.","- Duke University Libraries Catalog The American Law Institute library on HeinOnline consists of full runs of the Institute's Annual Reports, Proceedings, Annual Meeting Speeches, and the Institute's newsletter, The ALI Reporter. American Law Institute library. These series can help greatly in conducting research into Institute projects and publications going back to the organization's founding. Additional documents from the Institute Archives at Penn will be added to the ALI library on HeinOnline in the future The ALI Collection also includes archival material from the Second Restatement of Torts (perhaps the most influential treatise on common law liability), the Model Penal Code (adopted as the criminal code in most states), and the Statement of Essential Human Rights (a pioneering ALI project of the mid 1940s)."
Archives of sexuality & gender. LGBTQ history and culture since 1940. - Duke University Libraries Catalog,,Gale (Firm),"As part of the Archives of Sexuality & Gender series, this collection enables students, educators, and researchers to thoroughly explore and make new connections in subjects such as LGBTQ history and activism, cultural studies, psychology, sociology, health, political science, policy studies, human rights, gender studies, and more. This unique fully-searchable collection brings together approximately 1.5 million pages of primary sources on social, political, health, and legal issues impacting LGBTQ communities around the world. Rare and unique content from newsletters, papers, government documents, manuscripts, pamphlets, and other types of primary sources sheds light on the gay rights movement, activism, the HIV/AIDS crisis, and more. Truly global in scope, Part I: LGBTQ History and Culture Since 1940 features historical documents published in more than 35 countries, with over 15 languages represented.","Farmington Hills, Michigan : Gale CENGAGE Learning, [2016]-",English,,,1 online resource,File type: text file,SourcesOnline databasesElectronic reference sourcesDatabases,944135608.0,LCCN: 2016254040,008836246,"Part I: LGBTQ History and Culture Since 1940 features historical documents published in more than 35 countries, with over 15 languages represented. Unique fully-searchable collection brings together approximately 1.5 million pages of primary sources on social, political, health, and legal issues impacting LGBTQ communities around the world. Rare and unique content from newsletters, papers, government documents, manuscripts, pamphlets, and other types of. primary sources sheds light on the gay rights movement, activism, the HIV/AIDS crisis, and more.","LGBTQ history and culture since 1940. Truly global in scope, Part I: LGBTQ History and Culture Since 1940 features historical documents published in more than 35 countries, with over 15 languages represented. Rare and unique content from newsletters, papers, government documents, manuscripts, pamphlets, and other types of primary sources sheds light on the gay rights movement, activism, the HIV/AIDS crisis, and more. Archives of sexuality & gender. - Duke University Libraries Catalog As part of the Archives of Sexuality & Gender series, this collection enables students, educators, and researchers to thoroughly explore and make new connections in subjects such as LGBTQ history and activism, cultural studies, psychology, sociology, health, political science, policy studies, human rights, gender studies, and more."
Art index retrospective. - Duke University Libraries Catalog,,H.W. Wilson Company,"This bibliographic database cumulates citations to Art Index volumes 1-32 of the printed index published between 1929-1984. The database cites articles from periodicals published throughout the world. Periodical coverage includes English-language periodicals, yearbooks, and museum bulletins, as well as periodicals published in French, Italian, German, Spanish, and Dutch. In addition to articles, Art index retrospective indexes reproductions of works of art that appear in indexed periodicals. Subjects include : Advertising Art, Antiques, Archaeology, Architecture and Architectural History, Art History, Crafts, Decorative Arts, Folk Art, Graphic Arts, Industrial Design, Interior Design, Landscape Architecture, Motion Pictures, Museology, Non-Western Art, Painting, Photography, Pottery, Sculpture, Television, Textiles.","<2011->: Ipswich, MA: EBSCO.<2005-2011>: Bronx, NY : H.W. Wilson.",English,,"Related database: Art Full Text - provides coverage for ensuing years.Database produced by H.W. Wilson Company.Description based on version viewed Jan. 19, 2012; title from title screen.Made available through EBSCO Publishing.Previously made available online through Wilson Web.",1 online resource,File type: text file,PeriodicalsDatabasesOnline databases,769695521.0,,005197387,"This bibliographic database cumulates citations to Art Index volumes 1-32 of the printed index published between 1929-1984. Subjects include : Advertising Art, Antiques, Archaeology, Architecture and Architectural History, Art History, Crafts, Decorative Arts, Folk Art, Graphic Arts, Graphic Design, Industrial Design, Interior Design, Motion Pictures, Museology, Non-Western Art, Painting, Photography, Pottery, Sculpture, Television, Textiles. The database cites articles from periodicals published throughout the world.","- Duke University Libraries Catalog This bibliographic database cumulates citations to Art Index volumes 1-32 of the printed index published between 1929-1984. The database cites articles from periodicals published throughout the world. Subjects include : Advertising Art, Antiques, Archaeology, Architecture and Architectural History, Art History, Crafts, Decorative Arts, Folk Art, Graphic Arts, Industrial Design, Interior Design, Landscape Architecture, Motion Pictures, Museology, Non-Western Art, Painting, Photography, Pottery, Sculpture, Television, Textiles. In addition to articles, Art index retrospective indexes reproductions of works of art that appear in indexed periodicals. Periodical coverage includes English-language periodicals, yearbooks, and museum bulletins, as well as periodicals published in French, Italian, German, Spanish, and Dutch."
Audio drama : The L.A. Theatre Works collection. - Duke University Libraries Catalog,,Alexander Street Press,"This collection will include more than 300 dramatic works in streaming audio from the curated archive of The L.A. Theatre Works radio theatre company. The plays are performed by leading actors from around the world and recorded specifically for online listening. The collection presents classics of the Western canon, modern works by American luminaries, originally commissioned plays, and high profile docudramas by both renowned and emerging playwrights. The plays are chosen not only for their literary significance, but also for their ability to challenge presumptions and examine complicated moral and ethical questions. Critical essays, annotated playlists, and scene-level indexing by known figures in medicine, academia, politics, and other fields will draw connections from the plays to issues and topics in the humanities, social sciences, theatre, hard sciences, law, medicine, and other fields of study. Audio Drama's teaching tools include playlists, permanent URLs for electronic course reserves, and optional downloads.","[Alexandria, Va.] : Alexander Street Press.",English,Mode of access: World Wide Web.,"Streaming audio.Title from home page (Alexander Street Press, viewed Jan. 11, 2010).",,Special audio characteristics: digital recording,CollectionsRadio playsRadio adaptationsRadio docudramasOnline databases,496815906.0,,004959017,"Audio Drama will include more than 300 dramatic works in streaming audio from the curated archive of The L.A. Theatre Works radio theatre company. The plays are performed by leading actors from around the world and recorded specifically for online listening. The collection presents classics of the Western canon, modern works by American luminaries, originally commissioned plays, and high profile docudramas by both renowned and emerging playwrights. Audio Drama's teaching tools include playlists, permanent URLs for electronic course reserves, and optional downloads.","- Duke University Libraries Catalog This collection will include more than 300 dramatic works in streaming audio from the curated archive of The L.A. Theatre Works radio theatre company. Audio drama : The L.A. Theatre Works collection. The collection presents classics of the Western canon, modern works by American luminaries, originally commissioned plays, and high profile docudramas by both renowned and emerging playwrights. Audio Drama's teaching tools include playlists, permanent URLs for electronic course reserves, and optional downloads. Critical essays, annotated playlists, and scene-level indexing by known figures in medicine, academia, politics, and other fields will draw connections from the plays to issues and topics in the humanities, social sciences, theatre, hard sciences, law, medicine, and other fields of study."
Audiovisual library of international law - Duke University Libraries Catalog,,United Nations. Codification Division,"The Audiovisual Library is a unique, multimedia resource which provides the United Nations with the unprecedented capacity to provide high quality international law training and research materials to an unlimited number of recipients on a global level. The Audiovisual Library consists of three pillars: (1) the Historic Archives containing documents and audiovisual materials relating to the negotiation and adoption of significant legal instruments under the auspices of the United Nations and related agencies since 1945; (2) the Lecture Series featuring a permanent collection of lectures on virtually every subject of international law given by leading international law scholars and practitioners from different countries and legal systems; and (3) the Research Libraryproviding an on-line international law library with links to treaties, jurisprudence, publications and documents, scholarly writings and research guides. The Audiovisual Library is available to all individuals and institutions around the world for free via the Internet.","[New York, N.Y.] : United Nations, 2008-",English,,Title from caption.English,1 online resource,Color characteristics: polychromeFile type: text file,Online databases,265303749.0,,005817657,"The Audiovisual Library is a unique multimedia resource which provides the United Nations with the unprecedented capacity to provide high quality international law training and research materials to an unlimited number of recipients. The Library consists of three pillars: (1) the Historic Archives, (2) the Lecture Series featuring a permanent collection of lectures on virtually every subject of international law. (3) the Research Library provides an on-line international law library with links to treaties, jurisprudence, publications and documents, scholarly writings and research guides.","The Audiovisual Library is available to all individuals and institutions around the world for free via the Internet. The Audiovisual Library consists of three pillars: (1) the Historic Archives containing documents and audiovisual materials relating to the negotiation and adoption of significant legal instruments under the auspices of the United Nations and related agencies since 1945; (2) the Lecture Series featuring a permanent collection of lectures on virtually every subject of international law given by leading international law scholars and practitioners from different countries and legal systems; and (3) the Research Libraryproviding an on-line international law library with links to treaties, jurisprudence, publications and documents, scholarly writings and research guides. Audiovisual library of international law - Duke University Libraries Catalog The Audiovisual Library is a unique, multimedia resource which provides the United Nations with the unprecedented capacity to provide high quality international law training and research materials to an unlimited number of recipients on a global level."
British history online. - Duke University Libraries Catalog,,University of London. Institute of Historical Research,"British History Online is the digital library containing some of the core printed primary and secondary sources for the medieval and modern history of the British Isles. Allows for browsing content by Regions (East, London, Midlands, North, Scotland, South East, South West, and Wales); by Subjects (Administrative and legal history; Ecclesiastical and religious history; Economic history, Intellectual, scientific and cultural history; Local history; Parliamentary history; and: Urban and metropolitan history); and/or by Periods (11th through 19th centuries). Includes: Calendar of letter-books of the city of London; Survey of London; Victoria County History; Calendars of State Papers, Domestic and the Calendars of State Papers for Scotland and Ireland, plus the Calendar of Close Rolls.","London : Institute of Historical Research, University of London : History of Parliament Trust, c2003-",English,,"Title from home page (viewed Aug. 8, 2005).",1 online resource,Color characteristics: polychromeFile type: text file,SourcesOnline databases,56793163.0,,004142867,"British History Online is the digital library containing some of the core printed primary and secondary sources for the medieval and modern history of the British Isles. Allows for browsing content by Regions (East, London, Midlands, North, Scotland, South East, South West, and Wales) by Subjects (Administrative and legal history; Ecclesiastical and religious history; Economic history, Intellectual, scientific and cultural history; Local history; Parliamentary history; and: Urban and metropolitan history) Includes: Calendar of letter-books of the city of London; Survey of London.","- Duke University Libraries Catalog British History Online is the digital library containing some of the core printed primary and secondary sources for the medieval and modern history of the British Isles. Includes: Calendar of letter-books of the city of London; Survey of London; Victoria County History; Calendars of State Papers, Domestic and the Calendars of State Papers for Scotland and Ireland, plus the Calendar of Close Rolls. Allows for browsing content by Regions (East, London, Midlands, North, Scotland, South East, South West, and Wales); by Subjects (Administrative and legal history; Ecclesiastical and religious history; Economic history, Intellectual, scientific and cultural history; Local history; Parliamentary history; and: Urban and metropolitan history); and/or by Periods (11th through 19th centuries). British history online."
Business uses of the Freedom of Information Act - Duke University Libraries Catalog,,"Hammitt, Harry A. (Harry Andrew)",""" ... analyzes the federal statutory framework by which corporations and others, including public interest groups, may gain access to government-generated records or other records in the possession of government agencies. The portfolio examines the Freedom of Information Act, describing how it can be used by requesters of public information, how it protects certain exempt categories of information, and how litigation arises under the act. It also discusses the FOIA exemptions from mandatory disclosure most commonly encountered by business users of the act. The portfolio also includes practical advice with respect to obtaining and protecting business information and litigating these issues under the act.""","Arlington, VA : Bureau of National Affairs, [2004]-",English,Mode of access: World Wide Web.,"Published: Washington, D.C., 2004-2007.Includes bibliographical references.",1 online resource,Color characteristics: polychromeFile type: text file,Electronic books,59552778.0,,004341322,"The portfolio examines the Freedom of Information Act, describing how it can be used by requesters of public information. It also discusses the FOIA exemptions from mandatory disclosure most commonly encountered by business users of the act. The portfolio also includes practical advice with respect to obtaining and protecting business information and litigating these issues under the act. The portfolio is published by Duke University Libraries. For confidential support call the Samaritans on 08457 909090 or visit a local Samaritans branch, see www.samaritans.org.","The portfolio examines the Freedom of Information Act, describing how it can be used by requesters of public information, how it protects certain exempt categories of information, and how litigation arises under the act. The portfolio also includes practical advice with respect to obtaining and protecting business information and litigating these issues under the act."" It also discusses the FOIA exemptions from mandatory disclosure most commonly encountered by business users of the act. Business uses of the Freedom of Information Act - Duke University Libraries Catalog "" ... analyzes the federal statutory framework by which corporations and others, including public interest groups, may gain access to government-generated records or other records in the possession of government agencies."
